STAT105,Regression Regression
MATH203,Numerical Numerical Methods,MATH103
BUS208,Topics in Entrepreneurship,BUS108
ART301,Digital Art Digital Art,ART201
ART408,Painting Painting,ART308
ACC403,Forensic Forensic Accounting,ACC303
PHIL110,Ethics Ethics
POLS304,International International Relations,POLS204
ENG109,Rhetoric Rhetoric
PSY402,Developmental Abnormal Psychology,PSY302
ANTH205,Cultural Anthropology,ANTH105
ENG206,Rhetoric Rhetoric,ENG106
STAT210,Time Series Time Series,STAT110
HIST109,American American History
BUS409,Topics in Entrepreneurship,BUS309
CHEM410,Physical Analytical Chemistry,CHEM310
ECON107,Development Econometrics
GEO101,Physical Geography
PHYS310,Modern Mechanics,PHYS210
COMM304,Mass Media Mass Media,COMM204
BUS401,Advanced Management,BUS301
CHEM208,Analytical Physical Chemistry,CHEM108
PHYS307,Computational Thermodynamics,PHYS207
PHIL410,Epistemology Epistemology,PHIL310
HIST307,Modern Historiography,HIST207
ACC202,Forensic Forensic Accounting,ACC102
POLS104,American American Politics
CS109,Foundations of Programming
FREN103,Advanced Composition
FIN105,Risk Risk Management
STAT307,Time Series Time Series,STAT207
HIST310,American American History,HIST210
ANTH101,Cultural Anthropology
MUS407,Aural Skills Aural Skills,MUS307
ACC303,Managerial Managerial Accounting,ACC203
IT106,Web Mobile Development
HIST202,Ancient Modern History,HIST102
SOC209,Rural Globalization,SOC109
BUS201,Topics in Entrepreneurship,BUS101
IT101,Information Information Technology
PSY408,Social Development,PSY308
FIN309,Corporate Finance,FIN209
ENV205,Environmental Environmental Science,ENV105
ART409,Sculpture Sculpture,ART309
COMM302,Public Speaking Public Speaking,COMM202
MUS401,Composition Composition,MUS301
MATH406,College Algebra,MATH306
PHYS303,Modern Mechanics,PHYS203
ECON207,Macro Macroeconomics,ECON107
STAT407,Applied Applied Statistics,STAT307
SPAN106,Culture Advanced Grammar
CS110,Principles of Data Structures
MATH405,Foundations of Number Theory,MATH305
GEO110,GIS Cartography
SPAN103,Advanced Composition
NUR309,Foundations of Nursing,NUR209
HIST308,Medieval Global History,HIST208
PHIL301,Political Philosophy Political Philosophy,PHIL201
ACC306,Forensic Forensic Accounting,ACC206
CHEM205,General Chemistry,CHEM105
ENGR106,Fluid Fluid Mechanics
IT406,Information Information Technology,IT306
BUS105,Applied Strategy
IT203,Web Mobile Development,IT103
ANTH204,Urban Urban Studies,ANTH104
FIN403,Risk Risk Management,FIN303
FREN109,Intermediate Conversation
BUS308,Global Analytics,BUS208
THEA304,Stagecraft Stagecraft,THEA204
MUS206,Aural Skills Aural Skills,MUS106
ECON209,International Public Economics,ECON109
ECON408,Macro Macroeconomics,ECON308
PHIL404,Aesthetics Aesthetics,PHIL304
SPAN410,Composition Literature,SPAN310
PHYS104,Applied Quantum
STAT405,Design of Experiments Experiment Design,STAT305
MATH101,College Algebra
STAT109,Applied Applied Statistics
SPAN310,Intermediate Conversation,SPAN210
BUS203,Strategic Operations,BUS103
ECON304,Macro Macroeconomics,ECON204
CHEM103,Inorganic Inorganic Chemistry
ENGR204,Design Design,ENGR104
BUS101,Principles of Business
POLS202,Political Theory Public Policy,POLS102
ACC102,Managerial Managerial Accounting
STAT110,Mathematical Mathematical Statistics
COMM204,Digital Media Digital Media,COMM104
BIO401,Molecular Microbiology,BIO301
PHYS103,Experimental Electricity & Magnetism
MUS101,Music Theory Music Theory
IT202,Cloud Web Development,IT102
FREN302,Elementary French,FREN202
MUS304,Composition Composition,MUS204
THEA202,Playwriting Playwriting,THEA102
ART109,Drawing Drawing
ECON409,Econometrics International Economics,ECON309
SPAN202,Composition Literature,SPAN102
MATH209,Computational Probability,MATH109
PSY102,Cognitive Cognition
COMM404,Media Writing Media Writing,COMM304
ACC302,Financial Accounting,ACC202
MUS406,Music Theory Music Theory,MUS306
ANTH404,Visual Social Change,ANTH304
ECON404,Public Development,ECON304
MATH210,Numerical Numerical Methods,MATH110
ENG303,Rhetoric Rhetoric,ENG203
HIST304,European European History,HIST204
MIS403,Decision Support Business Intelligence,MIS303
CHEM409,Analytical Physical Chemistry,CHEM309
ART209,Photography Photography,ART109
FREN105,Composition Literature
PHIL408,Ethics Ethics,PHIL308
SPAN305,Conversation Culture,SPAN205
IT405,Mobile Systems Administration,IT305
ANTH309,Cultural Anthropology,ANTH209
POLS404,Public Policy Political Theory,POLS304
FIN202,Risk Risk Management,FIN102
THEA404,Design Design,THEA304
NUR306,Psychiatric OB/GYN,NUR206
FIN302,Corporate Finance,FIN202
ENV103,Conservation Conservation
COMM203,Media Writing Media Writing,COMM103
SOC410,Rural Globalization,SOC310
CS103,Principles of Data Structures
SOC309,Introduction to Sociology,SOC209
BIO109,Cell Genetics
ACC104,Taxation Taxation
ENGR201,Thermodynamics Thermodynamics,ENGR101
ENG209,Fiction Fiction,ENG109
ART203,Printmaking Printmaking,ART103
ACC405,Reporting AIS,ACC305
FIN209,Risk Risk Management,FIN109
BIO201,Ecology Ecology,BIO101
BUS103,Advanced Management
IT310,Systems Networking,IT210
GEO202,Climatology Geomorphology,GEO102
PHYS206,Modern Mechanics,PHYS106
CS206,Foundations of Programming,CS106
IT207,Networking Security,IT107
MUS404,Ensemble Ensemble,MUS304
PHIL308,Political Philosophy Political Philosophy,PHIL208
FREN409,Conversation Culture,FREN309
FIN103,Financial Corporate Finance
FREN408,Advanced Composition,FREN308
IT407,Systems Networking,IT307
MIS407,Information Systems Analytics,MIS307
ENV308,Resources Impact Assessment,ENV208
NUR204,Leadership Leadership,NUR104
MATH408,Advanced Discrete Mathematics,MATH308
MIS206,Information Systems Analytics,MIS106
SPAN409,Conversation Culture,SPAN309
NUR404,Pharmacology Psychiatric Care,NUR304
FIN404,International International Finance,FIN304
BIO308,Physiology Molecular Biology,BIO208
THEA410,Playwriting Playwriting,THEA310
CHEM304,Inorganic Inorganic Chemistry,CHEM204
NUR210,Pharmacology Psychiatric Care,NUR110
MUS310,Aural Skills Aural Skills,MUS210
FIN208,Derivatives Derivatives,FIN108
BIO407,Cell Genetics,BIO307
BUS205,Principles of Business,BUS105
PHYS402,Applied Quantum,PHYS302
MIS103,Analytics ERP Systems
ENV210,Modeling Resources,ENV110
PSY308,Personality Research Methods,PSY208
ANTH306,Medical Cultural Studies,ANTH206
ENGR203,Fluid Fluid Mechanics,ENGR103
MATH303,Applied Calculus,MATH203
PHYS301,Theoretical Astrophysics,PHYS201
PHIL302,Introduction to Philosophy,PHIL202
PHIL310,Logic Logic,PHIL210
FREN110,Advanced Composition
MATH206,Applied Calculus,MATH106
ANTH307,Visual Social Change,ANTH207
MIS105,Decision Support Business Intelligence
NUR409,OB/GYN Pediatrics,NUR309
ENGR301,Design Design,ENGR201
ACC408,Auditing Auditing,ACC308
SOC103,Cultural Inequality
NUR102,Medical-Surgical Clinical Practice
PHIL405,Political Philosophy Political Philosophy,PHIL305
PHYS210,Computational Thermodynamics,PHYS110
THEA301,Production Production,THEA201
BIO405,Physiology Molecular Biology,BIO305
ENGR207,Dynamics Dynamics,ENGR107
ENV307,Modeling Resources,ENV207
FIN304,Financial Corporate Finance,FIN204
ENV104,Policy Policy
BUS109,Fundamentals of Marketing
ART105,Photography Photography
ECON401,Macro Macroeconomics,ECON301
ECON305,Econometrics International Economics,ECON205
MIS304,Analytics ERP Systems,MIS204
SPAN405,Literature Translation,SPAN305
SPAN101,Elementary Spanish
ACC404,Accounting Info Systems Reporting,ACC304
ENG210,Nonfiction Nonfiction,ENG110
COMM206,Interpersonal Interpersonal Communication,COMM106
POLS106,Public Policy Political Theory
THEA402,Theatre History Theatre History,THEA302
BUS104,Topics in Entrepreneurship
MUS107,Conducting Conducting
ACC107,Reporting AIS
PSY209,Abnormal Neuroscience,PSY109
MIS101,Management Information Systems
CS403,Advanced Software Engineering,CS303,MATH201
FIN108,Corporate Finance
MATH310,Applied Calculus,MATH210
THEA110,Stagecraft Stagecraft
MATH301,Foundations of Number Theory,MATH201
SPAN104,Conversation Culture
ANTH105,Medical Cultural Studies
MATH403,Computational Probability,MATH303
CS108,Introduction to Computer Science
ENG306,Fiction Fiction,ENG206
ACC203,Accounting Info Systems Reporting,ACC103
ENG406,Composition Composition,ENG306
ECON108,Principles of Economics
STAT103,Mathematical Mathematical Statistics
CS302,Introduction to Computer Science,CS202
PSY307,Biopsychology Social Behavior,PSY207
SPAN105,Composition Literature
ENG401,Literature Literature,ENG301
BUS204,Global Analytics,BUS104
CHEM104,Analytical Physical Chemistry
NUR303,Medical-Surgical Clinical Practice,NUR203
MUS110,Composition Composition
FIN102,Investments Investments
NUR109,Medical-Surgical Clinical Practice
SOC303,Social Social Theory,SOC203
PHIL306,Epistemology Epistemology,PHIL206
POLS108,Introduction to Political Science
ENGR109,Statics Statics
HIST410,Ancient Modern History,HIST310
ANTH201,Linguistic Medical Anthropology,ANTH101
ENG106,Nonfiction Nonfiction
POLS307,Public Policy Political Theory,POLS207
SPAN303,Intermediate Conversation,SPAN203
GEO204,Remote Sensing Human Geography,GEO104
SPAN110,Advanced Composition
FIN402,Derivatives Derivatives,FIN302
ENG207,Literature Literature,ENG107
ACC308,Reporting AIS,ACC208
ENGR404,Fluid Fluid Mechanics,ENGR304,PHYS101
STAT302,Introduction to Statistics,STAT202
MIS204,Data Project Management,MIS104
MUS301,Conducting Conducting,MUS201
BUS402,Topics in Entrepreneurship,BUS302
BIO110,Molecular Microbiology
ECON103,Macro Macroeconomics
COMM210,Media Writing Media Writing,COMM110
ART107,Digital Art Digital Art
PHIL406,Introduction to Philosophy,PHIL306
CHEM202,Physical Analytical Chemistry,CHEM102
CHEM109,Organic Organic Chemistry
GEO305,Cartography Climatology,GEO205
MUS306,History Music History,MUS206
SPAN306,Composition Literature,SPAN206
COMM102,Interpersonal Interpersonal Communication
MATH401,Advanced Discrete Mathematics,MATH301
ENV406,Environmental Environmental Science,ENV306
ART208,Sculpture Sculpture,ART108
ANTH310,Biological Archaeology,ANTH210
PHYS108,General Physics
PHYS101,General Physics
ACC110,Auditing Auditing
ECON301,Development Econometrics,ECON201
MIS210,Business Intelligence Data Management,MIS110
BUS107,Global Analytics
PHYS409,Applied Quantum,PHYS309
ART201,Sculpture Sculpture,ART101
STAT310,Applied Applied Statistics,STAT210
ANTH304,Archaeology Linguistics,ANTH204
ENG310,Rhetoric Rhetoric,ENG210
CS410,Advanced Software Engineering,CS310,MATH201
COMM101,Public Speaking Public Speaking
PHIL304,Ethics Ethics,PHIL204
CS102,Foundations of Programming
PSY201,Developmental Abnormal Psychology,PSY101
GEO106,Geomorphology Remote Sensing
THEA209,Playwriting Playwriting,THEA109
FREN303,Intermediate Conversation,FREN203
STAT202,Regression Regression,STAT102
ENG208,Poetry Poetry,ENG108
SOC106,Global Community
COMM306,PR Public Relations,COMM206
MUS210,Ensemble Ensemble,MUS110
CS107,Seminar in Operating Systems
FIN110,Financial Corporate Finance
PSY104,Developmental Abnormal Psychology
MIS201,ERP Decision Support,MIS101
STAT102,Applied Applied Statistics
FREN410,Composition Literature,FREN310
FREN204,Literature Translation,FREN104
SPAN208,Conversation Culture,SPAN108
ENG405,Creative Writing Creative Writing,ENG305
CS304,Principles of Data Structures,CS204
ART405,Digital Art Digital Art,ART305
FIN409,Derivatives Derivatives,FIN309
GEO302,Physical Geography,GEO202
GEO309,Physical Geography,GEO209
CHEM201,Analytical Physical Chemistry,CHEM101
FREN401,Advanced Composition,FREN301
PSY108,Introduction to Psychology
HIST404,Modern Historiography,HIST304
ENG305,Poetry Poetry,ENG205
PHYS207,Experimental Electricity & Magnetism,PHYS107
BIO307,Microbiology Physiology,BIO207
COMM201,Journalism Journalism,COMM101
THEA104,Theatre History Theatre History
HIST104,Asian Ancient Civilizations
SPAN109,Intermediate Conversation
ANTH302,Cultural Anthropology,ANTH202
ENV208,Policy Policy,ENV108
IT408,Networking Security,IT308
MUS209,History Music History,MUS109
ART306,Photography Photography,ART206
FREN405,Literature Translation,FREN305
MUS303,Aural Skills Aural Skills,MUS203
HIST203,Modern Historiography,HIST103
FIN210,International International Finance,FIN110
ENV201,Policy Policy,ENV101
COMM303,Interpersonal Interpersonal Communication,COMM203
ENGR406,Introduction to Engineering,ENGR306,PHYS101
PHIL105,Epistemology Epistemology
ENGR403,Materials Materials,ENGR303,PHYS101
CHEM206,Organic Organic Chemistry,CHEM106
MUS309,Music Theory Music Theory,MUS209
ENV302,Environmental Environmental Science,ENV202
PHIL107,Political Philosophy Political Philosophy
FREN310,Intermediate Conversation,FREN210
NUR310,Medical-Surgical Clinical Practice,NUR210
PHYS405,Theoretical Astrophysics,PHYS305
PHIL305,Metaphysics Metaphysics,PHIL205
NUR110,Pediatric Pharmacology
MUS403,History Music History,MUS303
GEO208,Cartography Climatology,GEO108
FIN307,International International Finance,FIN207
PSY205,Introduction to Psychology,PSY105
FREN407,Intermediate Conversation,FREN307
SPAN204,Literature Translation,SPAN104
PSY401,Social Development,PSY301
CHEM307,Biochemistry Biochemistry,CHEM207
MUS307,Ensemble Ensemble,MUS207
ENGR310,Statics Statics,ENGR210
ANTH108,Cultural Anthropology
ANTH409,Linguistic Medical Anthropology,ANTH309
PSY204,Personality Research Methods,PSY104
ANTH308,Urban Urban Studies,ANTH208
FIN109,Investments Investments
FREN203,Culture Advanced Grammar,FREN103
FREN107,Literature Translation
ENG107,Creative Writing Creative Writing
FREN306,Composition Literature,FREN206
BIO104,Ecology Ecology
ECON403,International Public Economics,ECON303
NUR307,Pharmacology Psychiatric Care,NUR207
PHYS204,Theoretical Astrophysics,PHYS104
CHEM303,Organic Organic Chemistry,CHEM203
SOC404,Global Community,SOC304
ANTH301,Urban Urban Studies,ANTH201
STAT101,Introduction to Statistics
BIO102,Cell Genetics
GEO206,Human GIS,GEO106
BUS206,Fundamentals of Marketing,BUS106
SPAN209,Composition Literature,SPAN109
FIN301,Markets Markets,FIN201
PHYS109,Modern Mechanics
MUS302,Music Theory Music Theory,MUS202
POLS305,American American Politics,POLS205
ANTH206,Biological Archaeology,ANTH106
BIO409,Ecology Ecology,BIO309
GEO209,Climatology Geomorphology,GEO109
BIO310,Cell Genetics,BIO210
FREN404,Culture Advanced Grammar,FREN304
POLS110,International International Relations
NUR101,Foundations of Nursing
HIST409,Asian Ancient Civilizations,HIST309
FREN208,Conversation Culture,FREN108
POLS207,International International Relations,POLS107
IT306,Cloud Web Development,IT206
PSY107,Personality Research Methods
CS204,Seminar in Operating Systems,CS104
ECON110,Macro Macroeconomics
MIS410,Decision Support Business Intelligence,MIS310
NUR202,Psychiatric OB/GYN,NUR102
IT210,Web Mobile Development,IT110
FREN403,Composition Literature,FREN303
ENGR108,Introduction to Engineering
MATH205,College Algebra,MATH105
COMM405,Digital Media Digital Media,COMM305
NUR407,Medical-Surgical Clinical Practice,NUR307
NUR108,Foundations of Nursing
BIO402,Ecology Ecology,BIO302
MATH302,College Algebra,MATH202
MATH306,Computational Probability,MATH206
IT305,Security Cloud,IT205
BIO209,Genetics Anatomy,BIO109
SPAN407,Intermediate Conversation,SPAN307
ENG110,Literature Literature
HIST106,Modern Historiography
NUR208,OB/GYN Pediatrics,NUR108
ART302,Art History Art History,ART202
ECON104,Econometrics International Economics
MATH202,Computational Probability,MATH102
ENG309,Composition Composition,ENG209
